match_id,match_venue,match_innings,batting_team,bowling_team,total_score,run_rate
336006.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Kings XI Punjab,26.0,4.333333333333333
336006.0,M Chinnaswamy Stadium,2.0,Kings XI Punjab,Royal Challengers Bangalore,52.0,8.666666666666666
336007.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Deccan Chargers,34.0,5.666666666666667
336007.0,"MA Chidambaram Stadium, Chepauk",2.0,Deccan Chargers,Chennai Super Kings,50.0,8.333333333333334
336008.0,Dr DY Patil Sports Academy,1.0,Rajasthan Royals,Mumbai Indians,48.0,8.0
336008.0,Dr DY Patil Sports Academy,2.0,Mumbai Indians,Rajasthan Royals,34.0,5.666666666666667
336009.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Chennai Super Kings,50.0,8.333333333333334
336009.0,Feroz Shah Kotla,2.0,Chennai Super Kings,Delhi Daredevils,58.0,9.666666666666666
336010.0,Eden Gardens,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,41.0,6.833333333333333
336010.0,Eden Gardens,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,35.0,5.833333333333333
336011.0,Sawai Mansingh Stadium,1.0,Deccan Chargers,Rajasthan Royals,50.0,8.333333333333334
336011.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Deccan Chargers,50.0,8.333333333333334
336013.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Kings XI Punjab,51.0,8.5
336013.0,"MA Chidambaram Stadium, Chepauk",2.0,Kings XI Punjab,Chennai Super Kings,35.0,5.833333333333333
336014.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Kolkata Knight Riders,Deccan Chargers,43.0,7.166666666666667
336014.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Deccan Chargers,Kolkata Knight Riders,52.0,8.666666666666666
336015.0,Sawai Mansingh Stadium,1.0,Delhi Daredevils,Rajasthan Royals,47.0,7.833333333333333
336015.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Delhi Daredevils,21.0,3.5
336016.0,"Punjab Cricket Association Stadium, Mohali",1.0,Royal Challengers Bangalore,Kings XI Punjab,50.0,8.333333333333334
336016.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Royal Challengers Bangalore,42.0,7.0
336017.0,Eden Gardens,1.0,Kolkata Knight Riders,Delhi Daredevils,35.0,5.833333333333333
336017.0,Eden Gardens,2.0,Delhi Daredevils,Kolkata Knight Riders,37.0,6.166666666666667
336018.0,Wankhede Stadium,1.0,Chennai Super Kings,Mumbai Indians,28.0,4.666666666666667
336018.0,Wankhede Stadium,2.0,Mumbai Indians,Chennai Super Kings,78.0,13.0
